id,type,texte,categorie,bouton1_label,bouton1_suivant,bouton2_label,bouton2_suivant,bouton3_label,bouton3_suivant,bouton4_label,bouton4_suivant
q1,question,"Ma tâche est-elle impactée / concernée par l'IA ? (ex : rédiger un compte rendu de réunion)",,OUI,q2,NON,r_q1_non,,,,
r_q1_non,resultat,"Il n'est pas nécessaire d'aller plus loin pour cette tâche",non_concernee,,,,,,,,
q2,question,"Est-ce que je réalise entièrement cette tâche avec l'IA ? (ex : je donne l'enregistrement audio/vidéo de la réunion à une IA et je lui demande un compte rendu rédigé)",,OUI,q2b,NON,q4,,,,
q2b,question,"Comment cela se passe-t-il ensuite ?",,Je n'ai plus rien à faire,r_q2b_1,Je vérifie quand même les résultats,r_q2b_2,,,,
r_q2b_1,resultat,"Je n'ai plus rien à faire",ia_utile,,,,,,,,
r_q2b_2,resultat,"Je vérifie quand même les résultats",ia_utile,,,,,,,,
q4,question,"L'IA m'aide à commencer ma tâche (ex : je me sers de l'IA pour commencer à rédiger le compte rendu et éviter la feuille blanche)",,OUI,q5,NON,q6,,,,
q5,question,"Pour quels résultats ?",,J'y parviens rapidement (un ou deux essais),r_q5_1,J'ai besoin de 3 ou 4 tests avant d'avoir une première version correcte,r_q5_2,En général je finis par tout refaire moi-même,r_q5_3,,
r_q5_1,resultat,"J'y parviens rapidement (un ou deux essais)",ia_utile,,,,,,,,
r_q5_2,resultat,"J'ai besoin de 3 ou 4 tests avant d'avoir une première version correcte",ia_insatisfaisante,,,,,,,,
r_q5_3,resultat,"En général, je finis par tout refaire moi-même",ia_insatisfaisante,,,,,,,,
q6,question,"L'IA m'aide à finaliser ma tâche (ex : je me sers de l'IA pour corriger / relire / améliorer mon CR avant de le partager à mes collaborateurs)",,OUI,q7,NON,r_q6_non,,,,
r_q6_non,resultat,"Je dois tout reprendre car il y a des erreurs et des coquilles",ia_insatisfaisante,,,,,,,,
q7,question,"Est-ce que je vérifie le résultat final ?",,Je fais totalement confiance au résultat de l'IA,r_q7_1,Je vérifie tout de même le résultat,r_q7_2,,,,
r_q7_1,resultat,"Je fais totalement confiance au résultat de l'IA",ia_utile,,,,,,,,
r_q7_2,resultat,"Je vérifie tout de même le résultat",ia_utile,,,,,,,,
